appid,title,detail_link
730,CounterStrike 2,https://store.steampowered.com/app/730/CounterStrike_2?snr=1_7001_topselling_
1808500,ARC Raiders,https://store.steampowered.com/app/1808500/ARC_Raiders?snr=1_7001_topselling_
1675200,Steam Deck,https://store.steampowered.com/app/1675200/Steam_Deck?snr=1_7001_topselling_
3564740,Where Winds Meet,https://store.steampowered.com/app/3564740/Where_Winds_Meet?snr=1_7001_topselling_
578080,PUBG BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS?snr=1_7001_topselling_
2592160,Dispatch,https://store.steampowered.com/app/2592160/Dispatch?snr=1_7001_topselling_
2807960,Battlefield 6,https://store.steampowered.com/app/2807960/Battlefield_6?snr=1_7001_topselling_
3606480,Call of Duty Black Ops 7,https://store.steampowered.com/app/3606480/Call_of_Duty_Black_Ops_7?snr=1_7001_topselling_
3274580,Anno 117 Pax Romana,https://store.steampowered.com/app/3274580/Anno_117_Pax_Romana?snr=1_7001_topselling_
2799860,INAZUMA ELEVEN Victory Road,https://store.steampowered.com/app/2799860/INAZUMA_ELEVEN_Victory_Road?snr=1_7001_topselling_
570,Dota 2,https://store.steampowered.com/app/570/Dota_2?snr=1_7001_topselling_
1284190,The Planet Crafter,https://store.steampowered.com/app/1284190/The_Planet_Crafter?snr=1_7001_topselling_
3405690,EA SPORTS FC 26,https://store.steampowered.com/app/3405690/EA_SPORTS_FC_26?snr=1_7001_topselling_
2767030,Marvel Rivals,https://store.steampowered.com/app/2767030/Marvel_Rivals?snr=1_7001_topselling_
3949040,RV There Yet,https://store.steampowered.com/app/3949040/RV_There_Yet?snr=1_7001_topselling_
230410,Warframe,https://store.steampowered.com/app/230410/Warframe?snr=1_7001_topselling_
4078590,The Planet Crafter  Toxicity,https://store.steampowered.com/app/4078590/The_Planet_Crafter__Toxicity?snr=1_7001_topselling_
1145350,Hades II,https://store.steampowered.com/app/1145350/Hades_II?snr=1_7001_topselling_
3948510,ARC Raiders  Upgrade to Deluxe Edition,https://store.steampowered.com/app/3948510/ARC_Raiders__Upgrade_to_Deluxe_Edition?snr=1_7001_topselling_
3917090,Assetto Corsa Rally,https://store.steampowered.com/app/3917090/Assetto_Corsa_Rally?snr=1_7001_topselling_
